time,lat,lon,windspeed,pressure,year,month,day,hour,tid,label
42,28.2,-76.7,65,0,1944,8,1,0,2002,L1
48,29.3,-77.2,65,0,1944,8,1,6,2002,L1
54,30.5,-77.7,70,0,1944,8,1,12,2002,L1
60,32,-78,70,0,1944,8,1,18,2002,L1
66,33.9,-78.1,70,985,1944,8,1,23,2002,L1
72,34.1,-78.2,60,985,1944,8,2,0,2002,L1
78,35.7,-78.2,45,0,1944,8,2,6,2002,L1
84,36.9,-78,35,0,1944,8,2,12,2002,L1
90,37.8,-77.4,35,0,1944,8,2,18,2002,L1
96,38.5,-76.2,35,0,1944,8,3,0,2002,L1
102,39.2,-74.5,35,0,1944,8,3,6,2002,L1
108,39.8,-72.8,35,0,1944,8,3,12,2002,L1
114,40.3,-71,35,0,1944,8,3,18,2002,L1
120,40.8,-69.4,30,0,1944,8,4,0,2002,L1
126,41.3,-67.9,30,0,1944,8,4,6,2002,L1
6,19.3,-83.6,40,0,1944,9,19,6,2007,L1
12,20,-84.2,50,0,1944,9,19,12,2007,L1
18,20.6,-84.9,60,0,1944,9,19,18,2007,L1
24,20.9,-85.6,70,0,1944,9,20,0,2007,L1
30,21,-86.3,70,0,1944,9,20,6,2007,L1
36,21.1,-87.2,60,0,1944,9,20,12,2007,L1
42,20.9,-88.3,55,0,1944,9,20,18,2007,L1
48,20.5,-89.5,50,0,1944,9,21,0,2007,L1
54,20,-90.7,65,0,1944,9,21,6,2007,L1
60,19.2,-92,70,0,1944,9,21,12,2007,L1
66,18.5,-93.2,70,0,1944,9,21,18,2007,L1
72,17.9,-94,60,0,1944,9,22,0,2007,L1
78,17.2,-94.2,45,0,1944,9,22,6,2007,L1
84,16.5,-94,30,0,1944,9,22,12,2007,L1
6,15.5,-81,40,0,1945,10,2,6,2023,L1
12,15.6,-81.5,50,0,1945,10,2,12,2023,L1
18,15.8,-82,60,0,1945,10,2,18,2023,L1
24,16.1,-82.5,65,0,1945,10,3,0,2023,L1
30,16.4,-83.1,70,0,1945,10,3,6,2023,L1
36,16.6,-83.8,70,987,1945,10,3,12,2023,L1
42,16.8,-84.9,75,982,1945,10,3,18,2023,L1
48,16.6,-86.1,80,0,1945,10,4,0,2023,L1
54,16.4,-87.4,80,0,1945,10,4,6,2023,L1
60,16.2,-88.7,80,0,1945,10,4,12,2023,L1
66,16,-90,55,0,1945,10,4,18,2023,L1
72,15.8,-91.3,35,0,1945,10,5,0,2023,L1
78,15.7,-92.6,30,0,1945,10,5,6,2023,L1
84,15.5,-94,30,0,1945,10,5,12,2023,L1
90,15.5,-95.7,30,0,1945,10,5,18,2023,L1
96,15.8,-97.7,30,0,1945,10,6,0,2023,L1
102,16.3,-99.7,30,0,1945,10,6,6,2023,L1
108,17,-101.5,30,0,1945,10,6,12,2023,L1
114,18,-102.7,30,0,1945,10,6,18,2023,L1
120,19.3,-103.5,30,0,1945,10,7,0,2023,L1
126,21,-104.1,30,0,1945,10,7,6,2023,L1
132,23,-104.5,25,0,1945,10,7,12,2023,L1
6,29,-79,35,0,1946,7,5,6,2026,L1
12,31.8,-79.6,40,1006,1946,7,5,12,2026,L1
18,32.7,-79.3,40,0,1946,7,5,18,2026,L1
24,33.4,-78.9,40,0,1946,7,6,0,2026,L1
30,34,-78.4,40,0,1946,7,6,6,2026,L1
36,34.6,-77.7,40,0,1946,7,6,12,2026,L1
42,35.4,-76.7,45,0,1946,7,6,18,2026,L1
48,36.1,-75.4,55,0,1946,7,7,0,2026,L1
54,36.3,-73.8,60,0,1946,7,7,6,2026,L1
60,36.5,-72.3,65,0,1946,7,7,12,2026,L1
66,36.7,-70.8,70,0,1946,7,7,18,2026,L1
72,37,-69.3,70,0,1946,7,8,0,2026,L1
78,37.5,-67.7,70,0,1946,7,8,6,2026,L1
84,38,-66,70,0,1946,7,8,12,2026,L1
90,38.5,-64.5,70,0,1946,7,8,18,2026,L1
96,39,-63,65,0,1946,7,9,0,2026,L1
102,39.6,-61.6,60,0,1946,7,9,6,2026,L1
108,40.4,-60.1,55,0,1946,7,9,12,2026,L1
114,41.4,-58.2,50,0,1946,7,9,18,2026,L1
120,42.7,-56,45,0,1946,7,10,0,2026,L1
126,44.2,-53.8,40,0,1946,7,10,6,2026,L1
132,44.8,-51.5,40,0,1946,7,10,12,2026,L1
138,46,-49.7,35,0,1946,7,10,18,2026,L1
6,24,-80,35,0,1947,8,18,18,2033,L1
12,24.1,-81.5,35,0,1947,8,19,0,2033,L1
18,24.1,-82.3,40,0,1947,8,19,6,2033,L1
24,24.2,-83.1,40,0,1947,8,19,12,2033,L1
30,24.3,-84,45,0,1947,8,19,18,2033,L1
36,24.3,-84.9,45,0,1947,8,20,0,2033,L1
42,24.4,-85.6,45,0,1947,8,20,6,2033,L1
48,24.5,-86.2,40,0,1947,8,20,12,2033,L1
54,24.6,-86.7,35,0,1947,8,20,18,2033,L1
60,24.8,-87.2,35,0,1947,8,21,0,2033,L1
66,25.1,-87.9,40,0,1947,8,21,6,2033,L1
72,25.4,-88.7,45,0,1947,8,21,12,2033,L1
78,25.7,-89.3,50,0,1947,8,21,18,2033,L1
84,26,-89.8,55,0,1947,8,22,0,2033,L1
90,26.3,-90.2,60,0,1947,8,22,6,2033,L1
96,26.5,-90.6,65,0,1947,8,22,12,2033,L1
102,26.9,-91.2,70,0,1947,8,22,18,2033,L1
108,27.2,-91.7,70,0,1947,8,23,0,2033,L1
114,27.5,-92.1,70,0,1947,8,23,6,2033,L1
120,27.8,-92.5,70,0,1947,8,23,12,2033,L1
126,28.1,-93.1,70,0,1947,8,23,18,2033,L1
132,28.4,-93.6,70,0,1947,8,24,0,2033,L1
138,28.7,-93.9,70,0,1947,8,24,6,2033,L1
144,29,-94.3,70,0,1947,8,24,12,2033,L1
150,29.2,-94.8,70,0,1947,8,24,18,2033,L1
156,29.5,-95.3,60,0,1947,8,25,0,2033,L1
162,29.8,-95.8,60,0,1947,8,25,6,2033,L1
168,30.2,-96.2,60,0,1947,8,25,12,2033,L1
174,30.5,-96.6,55,0,1947,8,25,18,2033,L1
180,30.8,-97,35,0,1947,8,26,0,2033,L1
186,31,-97.3,25,0,1947,8,26,6,2033,L1
192,31.4,-97.5,20,0,1947,8,26,12,2033,L1
198,31.8,-97.7,20,0,1947,8,26,18,2033,L1
204,32.3,-97.8,15,0,1947,8,27,0,2033,L1
210,33.3,-97.9,15,0,1947,8,27,6,2033,L1
216,34,-97.9,15,0,1947,8,27,12,2033,L1
222,35,-97.9,15,0,1947,8,27,18,2033,L1
6,15.4,-82,35,0,1947,10,9,6,2038,L1
12,16,-82.2,35,0,1947,10,9,12,2038,L1
18,16.5,-82.5,35,0,1947,10,9,18,2038,L1
24,17,-82.7,40,0,1947,10,10,0,2038,L1
30,17.5,-82.9,40,0,1947,10,10,6,2038,L1
36,18,-83,45,0,1947,10,10,12,2038,L1
42,19.7,-83.5,50,0,1947,10,10,18,2038,L1
48,20.7,-83.7,55,0,1947,10,11,0,2038,L1
54,22.3,-83.7,55,0,1947,10,11,6,2038,L1
60,23,-83.2,60,0,1947,10,11,12,2038,L1
66,24.1,-82.3,65,0,1947,10,11,18,2038,L1
72,25.1,-81.4,70,0,1947,10,12,0,2038,L1
78,25.8,-80.6,75,0,1947,10,12,6,2038,L1
84,26.6,-79.8,75,991,1947,10,12,12,2038,L1
90,27.3,-78.7,75,0,1947,10,12,18,2038,L1
96,28.1,-77.5,70,0,1947,10,13,0,2038,L1
102,29.3,-75.8,70,0,1947,10,13,6,2038,L1
108,30.5,-74.6,70,0,1947,10,13,12,2038,L1
114,31.4,-74.6,70,0,1947,10,13,18,2038,L1
120,31.9,-75.7,65,0,1947,10,14,0,2038,L1
126,31.8,-76.4,65,0,1947,10,14,6,2038,L1
132,31.8,-77.1,65,0,1947,10,14,12,2038,L1
138,31.8,-77.6,65,0,1947,10,14,18,2038,L1
144,31.9,-78.2,70,0,1947,10,15,0,2038,L1
150,32,-79.5,75,0,1947,10,15,6,2038,L1
156,31.9,-81,75,973,1947,10,15,12,2038,L1
162,31.8,-82.3,65,0,1947,10,15,18,2038,L1
168,31.7,-83.4,50,0,1947,10,16,0,2038,L1
174,31.8,-84.2,40,0,1947,10,16,6,2038,L1
180,32.2,-85,35,0,1947,10,16,12,2038,L1
186,32.5,-85.8,25,0,1947,10,16,18,2038,L1
6,23.8,-94.7,35,0,1948,9,1,18,2044,L1
12,24.4,-94.4,40,0,1948,9,2,0,2044,L1
18,24.7,-93.9,45,0,1948,9,2,6,2044,L1
24,25,-93.5,50,0,1948,9,2,12,2044,L1
30,25.2,-93.2,55,0,1948,9,2,18,2044,L1
36,25.3,-93,60,0,1948,9,3,0,2044,L1
42,25.5,-92.8,60,0,1948,9,3,6,2044,L1
48,25.8,-92.6,65,0,1948,9,3,12,2044,L1
54,26.6,-91.9,70,0,1948,9,3,18,2044,L1
60,27.7,-91.1,70,990,1948,9,4,0,2044,L1
66,28.8,-90.5,65,989,1948,9,4,6,2044,L1
72,29.9,-90,55,0,1948,9,4,12,2044,L1
78,31.1,-89.6,50,0,1948,9,4,18,2044,L1
84,32.3,-89.3,45,0,1948,9,5,0,2044,L1
90,33.4,-89.1,40,0,1948,9,5,6,2044,L1
96,34.5,-89,35,0,1948,9,5,12,2044,L1
102,35.4,-89,30,0,1948,9,5,18,2044,L1
108,36.3,-88.9,30,0,1948,9,6,0,2044,L1
114,37.3,-88.7,25,0,1948,9,6,6,2044,L1
120,39,-88.3,25,0,1948,9,6,12,2044,L1
126,40.2,-87.5,20,0,1948,9,6,18,2044,L1
132,41.3,-86.4,20,0,1948,9,7,0,2044,L1
6,16.2,-62.5,60,0,1949,9,21,6,2057,L1
12,16.4,-65.3,65,0,1949,9,21,12,2057,L1
18,16.9,-66.6,70,0,1949,9,21,18,2057,L1
24,17.3,-67.8,70,0,1949,9,22,0,2057,L1
30,17.8,-68.8,70,0,1949,9,22,6,2057,L1
36,18.2,-69.9,65,0,1949,9,22,12,2057,L1
42,18.5,-72,35,0,1949,9,22,18,2057,L1
6,27.5,-89.2,35,0,1950,10,18,0,2074,L1
12,27.5,-90.8,65,0,1950,10,18,6,2074,L1
18,27,-91.9,70,0,1950,10,18,12,2074,L1
24,26.7,-92.1,75,0,1950,10,18,18,2074,L1
30,26.5,-92.2,75,0,1950,10,19,0,2074,L1
36,26.3,-92.3,75,0,1950,10,19,6,2074,L1
42,26.1,-92.2,80,0,1950,10,19,12,2074,L1
48,25.4,-91.1,80,0,1950,10,19,18,2074,L1
54,25.3,-89.4,80,0,1950,10,20,0,2074,L1
60,25.7,-88.2,75,0,1950,10,20,6,2074,L1
66,26.1,-87,75,0,1950,10,20,12,2074,L1
72,26.5,-86.1,70,0,1950,10,20,18,2074,L1
78,27.1,-85.2,70,0,1950,10,21,0,2074,L1
84,28.2,-83.9,60,0,1950,10,21,6,2074,L1
90,29.8,-83,35,0,1950,10,21,12,2074,L1
96,30.1,-83.1,30,0,1950,10,21,18,2074,L1
6,14.3,-78.2,30,0,1951,10,12,6,2083,L1
12,15,-78.8,30,0,1951,10,12,12,2083,L1
18,15.6,-79.5,30,0,1951,10,12,18,2083,L1
24,16.2,-80.2,35,0,1951,10,13,0,2083,L1
30,16.7,-81,45,0,1951,10,13,6,2083,L1
36,17.3,-81.8,50,0,1951,10,13,12,2083,L1
42,17.9,-82.2,60,0,1951,10,13,18,2083,L1
48,18.5,-82.1,65,0,1951,10,14,0,2083,L1
54,19.1,-81.8,70,0,1951,10,14,6,2083,L1
60,19.7,-81.5,70,0,1951,10,14,12,2083,L1
66,20.1,-81.3,70,0,1951,10,14,18,2083,L1
72,20.4,-81.2,65,0,1951,10,15,0,2083,L1
78,20.7,-81.3,55,0,1951,10,15,6,2083,L1
84,20.9,-81.6,55,0,1951,10,15,12,2083,L1
90,21,-82,50,0,1951,10,15,18,2083,L1
96,21.1,-82.3,50,0,1951,10,16,0,2083,L1
102,21.1,-82.6,45,0,1951,10,16,6,2083,L1
108,21.2,-82.9,40,0,1951,10,16,12,2083,L1
114,21.5,-83.2,40,0,1951,10,16,18,2083,L1
120,22,-83.3,35,0,1951,10,17,0,2083,L1
126,22.5,-83.4,30,0,1951,10,17,6,2083,L1
132,23,-83.5,25,0,1951,10,17,12,2083,L1
138,23.6,-83.6,25,0,1951,10,17,18,2083,L1
6,28.1,-75.6,35,0,1951,10,15,6,2084,L1
12,29.4,-75.3,65,0,1951,10,15,12,2084,L1
18,30.6,-74.8,70,0,1951,10,15,18,2084,L1
24,31.4,-74.2,70,0,1951,10,16,0,2084,L1
30,31.9,-73.6,70,0,1951,10,16,6,2084,L1
36,32.2,-73,60,0,1951,10,16,12,2084,L1
42,32.4,-72.3,55,0,1951,10,16,18,2084,L1
48,32.7,-71.6,55,0,1951,10,17,0,2084,L1
54,33.1,-70.7,50,0,1951,10,17,6,2084,L1
60,33.5,-69.9,50,0,1951,10,17,12,2084,L1
66,33.9,-69.8,50,0,1951,10,17,18,2084,L1
72,34.2,-70.4,50,0,1951,10,18,0,2084,L1
78,34.2,-71.3,45,0,1951,10,18,6,2084,L1
84,34,-72.2,45,0,1951,10,18,12,2084,L1
90,33.5,-72.5,40,0,1951,10,18,18,2084,L1
96,32.8,-72.6,40,0,1951,10,19,0,2084,L1
102,31.9,-72.3,40,0,1951,10,19,6,2084,L1
108,31,-71.8,40,0,1951,10,19,12,2084,L1
114,30.3,-71.1,40,0,1951,10,19,18,2084,L1
120,29.8,-70.7,35,0,1951,10,20,0,2084,L1
126,29.4,-69.9,30,0,1951,10,20,6,2084,L1
132,29.2,-69.3,25,0,1951,10,20,12,2084,L1
138,29,-65,25,0,1951,10,20,18,2084,L1
6,14,-51,50,0,1952,9,25,6,2089,L1
12,14.8,-51.6,50,0,1952,9,25,12,2089,L1
18,15.2,-51.9,50,0,1952,9,25,18,2089,L1
24,15.5,-52.3,55,0,1952,9,26,0,2089,L1
30,15.9,-52.8,55,0,1952,9,26,6,2089,L1
36,16.2,-53.4,60,0,1952,9,26,12,2089,L1
42,16.6,-54,70,998,1952,9,26,18,2089,L1
48,17,-54.6,75,0,1952,9,27,0,2089,L1
54,17.5,-55,70,0,1952,9,27,6,2089,L1
60,18,-55.4,55,0,1952,9,27,12,2089,L1
66,18.7,-55.9,45,0,1952,9,27,18,2089,L1
72,19.3,-56.4,40,0,1952,9,28,0,2089,L1
78,19.8,-56.9,40,0,1952,9,28,6,2089,L1
84,20.2,-57.3,40,0,1952,9,28,12,2089,L1
90,20.7,-57.7,35,0,1952,9,28,18,2089,L1
96,21.3,-58.1,35,0,1952,9,29,0,2089,L1
102,21.7,-58.7,35,0,1952,9,29,6,2089,L1
6,22,-94,50,0,1954,6,24,12,2106,L1
12,23.1,-94.9,50,0,1954,6,24,18,2106,L1
18,24,-95.7,65,0,1954,6,25,0,2106,L1
24,24.4,-96.5,70,0,1954,6,25,6,2106,L1
30,24.9,-97.2,70,0,1954,6,25,12,2106,L1
36,26,-98.3,50,0,1954,6,25,18,2106,L1
42,27.1,-99.2,40,0,1954,6,26,0,2106,L1
48,27.8,-99.8,25,0,1954,6,26,6,2106,L1
54,28.5,-100.3,25,0,1954,6,26,12,2106,L1
60,29.2,-100.8,25,0,1954,6,26,18,2106,L1
6,20.9,-94.7,45,0,1954,9,11,6,2111,L1
12,21,-95.1,50,0,1954,9,11,12,2111,L1
18,21,-95.5,55,0,1954,9,11,18,2111,L1
24,20.8,-95.9,65,0,1954,9,12,0,2111,L1
30,20.5,-96.3,65,0,1954,9,12,6,2111,L1
36,20.3,-96.8,35,0,1954,9,12,12,2111,L1
42,19.8,-97.4,20,0,1954,9,12,18,2111,L1
6,22.1,-50.9,30,0,1954,12,30,6,2116,L1
12,22,-51.6,35,1007,1954,12,30,12,2116,L1
18,21.6,-52.4,40,0,1954,12,30,18,2116,L1
24,21.3,-53.3,50,0,1954,12,31,0,2116,L1
30,21,-54.3,55,0,1954,12,31,6,2116,L1
36,20.6,-55.2,65,0,1954,12,31,12,2116,L1
42,20.3,-56,65,0,1954,12,31,18,2116,L1
6,20.1,-56.8,65,0,1955,1,1,0,2117,L1
12,19.9,-57.4,65,0,1955,1,1,6,2117,L1
18,19.7,-58.1,65,0,1955,1,1,12,2117,L1
24,19.3,-59.2,65,0,1955,1,1,18,2117,L1
30,18.8,-60.5,65,0,1955,1,2,0,2117,L1
36,18.4,-61.6,65,0,1955,1,2,6,2117,L1
42,18,-62.4,65,0,1955,1,2,12,2117,L1
48,17.8,-62.8,65,0,1955,1,2,18,2117,L1
54,17.6,-63.2,70,0,1955,1,3,0,2117,L1
60,17.3,-63.6,70,0,1955,1,3,6,2117,L1
66,17,-64,70,0,1955,1,3,12,2117,L1
72,16.5,-64.7,70,0,1955,1,3,18,2117,L1
78,16,-65.3,65,0,1955,1,4,0,2117,L1
84,15.5,-65.2,65,0,1955,1,4,6,2117,L1
90,15.1,-64.9,55,0,1955,1,4,12,2117,L1
96,14.7,-64.4,50,0,1955,1,4,18,2117,L1
102,14.4,-64,40,0,1955,1,5,0,2117,L1
108,14,-63.6,35,0,1955,1,5,6,2117,L1
114,13.6,-63.3,30,0,1955,1,5,12,2117,L1
120,13.3,-63.1,25,0,1955,1,5,18,2117,L1
126,13,-63,25,0,1955,1,6,0,2117,L1
132,12.8,-63,25,0,1955,1,6,6,2117,L1
138,28.4,-41.4,30,0,1955,10,10,6,2117,L1
144,28.4,-42,45,0,1955,10,10,12,2117,L1
150,28.4,-42.7,45,0,1955,10,10,18,2117,L1
156,28.4,-43.3,45,0,1955,10,11,0,2117,L1
162,28.6,-43.8,55,0,1955,10,11,6,2117,L1
168,28.8,-44.2,50,0,1955,10,11,12,2117,L1
174,29.1,-44.4,50,0,1955,10,11,18,2117,L1
180,29.4,-44.4,50,0,1955,10,12,0,2117,L1
186,29.7,-44.4,50,0,1955,10,12,6,2117,L1
192,30,-44.2,50,0,1955,10,12,12,2117,L1
198,30.6,-43.5,50,0,1955,10,12,18,2117,L1
204,31.2,-42.6,50,0,1955,10,13,0,2117,L1
210,31.8,-41.6,50,0,1955,10,13,6,2117,L1
216,32.4,-40.5,50,0,1955,10,13,12,2117,L1
222,33.7,-39.4,50,0,1955,10,13,18,2117,L1
228,35.8,-38,50,0,1955,10,14,0,2117,L1
234,37.8,-36.6,45,0,1955,10,14,6,2117,L1
240,40,-35.1,40,0,1955,10,14,12,2117,L1
6,20.6,-94.1,30,0,1955,9,4,12,2124,L1
12,21.5,-94.6,35,0,1955,9,4,18,2124,L1
18,22.3,-95.2,40,0,1955,9,5,0,2124,L1
24,23.1,-95.9,60,0,1955,9,5,6,2124,L1
30,23.6,-96.7,80,0,1955,9,5,12,2124,L1
36,23.4,-97.3,75,0,1955,9,5,18,2124,L1
42,22.8,-97.7,50,0,1955,9,6,0,2124,L1
48,22.1,-97.8,45,0,1955,9,6,6,2124,L1
54,21.5,-97.8,40,0,1955,9,6,12,2124,L1
60,20.7,-97.8,40,0,1955,9,6,18,2124,L1
6,20.6,-92.7,30,0,1956,7,25,18,2130,L1
12,20.8,-93.5,35,1006,1956,7,26,0,2130,L1
18,21,-94.5,45,0,1956,7,26,6,2130,L1
24,21.2,-95.5,50,991,1956,7,26,12,2130,L1
30,21.5,-96.7,65,0,1956,7,26,18,2130,L1
36,21.9,-98.4,70,1002,1956,7,27,0,2130,L1
42,22,-98.9,60,0,1956,7,27,6,2130,L1
6,17.4,-87.5,25,0,1956,9,21,6,2135,L1
12,18,-88,25,0,1956,9,21,12,2135,L1
18,18.9,-88.4,25,0,1956,9,21,18,2135,L1
24,19.9,-88.9,25,0,1956,9,22,0,2135,L1
30,21.1,-89.3,30,0,1956,9,22,6,2135,L1
36,22.2,-89.8,35,0,1956,9,22,12,2135,L1
42,23.1,-90.2,40,0,1956,9,22,18,2135,L1
48,24,-90.6,50,1007,1956,9,23,0,2135,L1
54,24.9,-90.9,55,0,1956,9,23,6,2135,L1
60,25.7,-91,60,0,1956,9,23,12,2135,L1
66,26.9,-91,65,0,1956,9,23,18,2135,L1
72,28.1,-90.6,70,0,1956,9,24,0,2135,L1
78,28.9,-89.8,75,983,1956,9,24,6,2135,L1
84,29.5,-88.7,80,0,1956,9,24,12,2135,L1
90,30,-87.5,80,0,1956,9,24,18,2135,L1
96,30.4,-86.4,65,980,1956,9,25,0,2135,L1
102,30.7,-85.6,45,0,1956,9,25,6,2135,L1
108,31.2,-84.4,40,0,1956,9,25,12,2135,L1
114,32,-83,35,0,1956,9,25,18,2135,L1
120,32.8,-81.6,35,0,1956,9,26,0,2135,L1
126,33.6,-80.1,35,0,1956,9,26,6,2135,L1
132,34.4,-78.9,30,0,1956,9,26,12,2135,L1
138,34.8,-78.4,30,0,1956,9,26,18,2135,L1
144,35,-78,30,0,1956,9,27,0,2135,L1
150,35.1,-77.6,30,0,1956,9,27,6,2135,L1
156,35.3,-77.2,35,0,1956,9,27,12,2135,L1
162,35.8,-76.5,35,0,1956,9,27,18,2135,L1
168,36.7,-75.2,35,0,1956,9,28,0,2135,L1
174,38.2,-72.5,40,0,1956,9,28,6,2135,L1
180,39.6,-69.6,40,0,1956,9,28,12,2135,L1
186,40.1,-68.1,40,0,1956,9,28,18,2135,L1
192,40.1,-66.7,40,0,1956,9,29,0,2135,L1
198,39.9,-64.5,40,0,1956,9,29,6,2135,L1
204,39.7,-62.7,40,0,1956,9,29,12,2135,L1
210,39.2,-61.8,40,0,1956,9,29,18,2135,L1
216,38.9,-60.9,40,0,1956,9,30,0,2135,L1
222,38.8,-60,40,0,1956,9,30,6,2135,L1
228,38.7,-59.1,35,0,1956,9,30,12,2135,L1
234,38.9,-58.2,35,0,1956,9,30,18,2135,L1
6,19.2,-81.3,30,0,1958,10,5,6,2154,L1
12,20,-81.6,30,0,1958,10,5,12,2154,L1
18,20.9,-81.5,35,999,1958,10,5,18,2154,L1
24,21.8,-81,40,999,1958,10,6,0,2154,L1
30,22.5,-80.1,45,999,1958,10,6,6,2154,L1
36,23.3,-79.1,50,998,1958,10,6,12,2154,L1
42,24.6,-77.8,55,997,1958,10,6,18,2154,L1
48,26,-76.6,60,996,1958,10,7,0,2154,L1
54,27.2,-75.6,65,988,1958,10,7,6,2154,L1
60,28.2,-75,75,987,1958,10,7,12,2154,L1
66,28.7,-74.7,80,990,1958,10,7,18,2154,L1
72,29.2,-74.5,80,995,1958,10,8,0,2154,L1
78,30,-74.2,80,995,1958,10,8,6,2154,L1
84,30.8,-73.8,80,992,1958,10,8,12,2154,L1
90,31.5,-73.3,70,990,1958,10,8,18,2154,L1
96,32,-72.6,70,987,1958,10,9,0,2154,L1
102,32.1,-71.9,65,985,1958,10,9,6,2154,L1
108,32.2,-71,65,983,1958,10,9,12,2154,L1
114,32.7,-69.7,65,977,1958,10,9,18,2154,L1
120,33.3,-68.2,65,970,1958,10,10,0,2154,L1
126,34.1,-67,75,968,1958,10,10,6,2154,L1
132,35,-65.8,80,970,1958,10,10,12,2154,L1
138,36,-63.9,80,970,1958,10,10,18,2154,L1
144,37,-61.5,80,968,1958,10,11,0,2154,L1
150,38.1,-59,80,972,1958,10,11,6,2154,L1
156,39.3,-56,75,0,1958,10,11,12,2154,L1
162,41.2,-51.3,70,0,1958,10,11,18,2154,L1
168,43.3,-46.1,65,0,1958,10,12,0,2154,L1
174,44.9,-42.2,50,0,1958,10,12,6,2154,L1
180,46.2,-38.2,50,0,1958,10,12,12,2154,L1
186,47.2,-33.5,50,0,1958,10,12,18,2154,L1
192,48,-28.2,45,0,1958,10,13,0,2154,L1
198,48.7,-23.5,45,0,1958,10,13,6,2154,L1
6,26.9,-92.1,25,0,1959,7,23,0,2159,L1
12,27.2,-92.6,30,0,1959,7,23,6,2159,L1
18,27.5,-93.1,35,0,1959,7,23,12,2159,L1
24,27.6,-93.7,35,0,1959,7,23,18,2159,L1
30,27.6,-94.4,35,0,1959,7,24,0,2159,L1
36,27.9,-95,40,0,1959,7,24,6,2159,L1
42,28.3,-95.4,65,1007,1959,7,24,12,2159,L1
48,28.5,-95.3,65,0,1959,7,24,18,2159,L1
54,28.8,-95.1,70,984,1959,7,25,0,2159,L1
60,29.2,-95.1,75,0,1959,7,25,6,2159,L1
66,29.6,-95.1,65,0,1959,7,25,12,2159,L1
72,30.1,-95.1,60,0,1959,7,25,18,2159,L1
78,30.6,-95.1,45,0,1959,7,26,0,2159,L1
84,31.3,-95.2,30,0,1959,7,26,6,2159,L1
90,32.1,-95.4,30,0,1959,7,26,12,2159,L1
96,33.1,-95.6,30,0,1959,7,26,18,2159,L1
102,34.1,-96,30,0,1959,7,27,0,2159,L1
108,35,-96.8,25,0,1959,7,27,6,2159,L1
114,35.8,-97.7,25,0,1959,7,27,12,2159,L1
120,36.2,-98.4,25,0,1959,7,27,18,2159,L1
126,36.3,-99.5,25,0,1959,7,28,0,2159,L1
132,36.4,-100.3,25,0,1959,7,28,6,2159,L1
6,16.8,-45.8,25,0,1959,9,9,6,2161,L1
12,18,-46.5,25,0,1959,9,9,12,2161,L1
18,19.5,-46.7,25,0,1959,9,9,18,2161,L1
24,20.8,-46.5,30,1008,1959,9,10,0,2161,L1
30,22,-46,35,0,1959,9,10,6,2161,L1
36,23.1,-45.4,40,0,1959,9,10,12,2161,L1
42,24.3,-44.7,45,0,1959,9,10,18,2161,L1
48,25.6,-43.9,50,0,1959,9,11,0,2161,L1
54,27.1,-42.7,55,0,1959,9,11,6,2161,L1
60,28.7,-41.3,65,0,1959,9,11,12,2161,L1
66,30.3,-39.8,65,994,1959,9,11,18,2161,L1
72,31.9,-37.6,65,0,1959,9,12,0,2161,L1
78,34,-34.2,65,0,1959,9,12,6,2161,L1
84,36.2,-30.7,65,0,1959,9,12,12,2161,L1
