space,time,day,poi,tid,label
30.2911559667 -97.8589226,1154,Saturday,19004,3080,143
30.2902613167 -97.8232754333,1051,Sunday,122101,3080,143
30.2893718167 -97.8711387,1129,Sunday,209894,3080,143
30.2948856333 -97.8718113833,154,Tuesday,83313,3080,143
30.2893718167 -97.8711387,847,Tuesday,209894,3080,143
30.4230448167 -97.67059565,1047,Tuesday,126547,3080,143
30.3366555333 -97.8042787333,1185,Tuesday,25311,3080,143
30.3382688791 -97.8071916103,1424,Tuesday,386752,3080,143
30.33723235 -97.8038334833,174,Wednesday,13729,3080,143
30.2893718167 -97.8711387,919,Wednesday,209894,3080,143
30.2963208 -97.8320287,944,Wednesday,25175,3080,143
30.2961287667 -97.8333772167,1102,Wednesday,19655,3080,143
30.4239244315 -97.7151918411,24,Thursday,23176,3080,143
30.2699606 -97.7498949,144,Thursday,99231,3080,143
30.2702612148 -97.7500927448,287,Thursday,51856,3080,143
30.2948856333 -97.8718113833,313,Thursday,83313,3080,143
30.2893718167 -97.8711387,836,Thursday,209894,3080,143
30.2893718167 -97.8711387,837,Friday,209894,3081,143
30.3366555333 -97.8042787333,894,Friday,25311,3081,143
30.29611945 -97.8324151,1047,Friday,15357,3081,143
30.31104325 -97.74291515,1267,Friday,11934,3081,143
30.2735145399 -97.7989806657,1385,Friday,433207,3081,143
30.2902613167 -97.8232754333,870,Sunday,122101,3081,143
30.2893718167 -97.8711387,996,Sunday,209894,3081,143
30.2020209544 -97.6678991318,1263,Sunday,371198,3081,143
30.2020487718 -97.6680707932,1272,Sunday,447639,3081,143
29.9877985723 -95.3393554688,1381,Sunday,23523,3081,143
29.9859139095 -95.3355793127,1414,Sunday,427452,3081,143
29.9877985723 -95.3393554688,682,Friday,23523,3082,143
29.9867392118 -95.3455352783,736,Friday,241204,3082,143
30.2015573297 -97.6671266556,890,Friday,9410,3082,143
30.2020487718 -97.6680707932,936,Friday,447639,3082,143
30.2963208 -97.8320287,1294,Friday,25175,3082,143
30.28884327 -97.84251904,1406,Saturday,387557,3082,143
30.2893718167 -97.8711387,29,Sunday,209894,3082,143
30.2963208 -97.8320287,1228,Sunday,25175,3082,143
30.2948856333 -97.8718113833,1386,Sunday,83313,3082,143
30.2668674465 -97.7418448098,1082,Monday,51786,3082,143
30.2893718167 -97.8711387,839,Tuesday,209894,3082,143
30.2963208 -97.8320287,1289,Tuesday,25175,3082,143
30.2893718167 -97.8711387,822,Wednesday,209894,3082,143
30.28884327 -97.84251904,836,Wednesday,387557,3082,143
30.2963208 -97.8320287,938,Wednesday,25175,3082,143
30.2707977167 -97.78760895,1072,Wednesday,32187,3082,143
30.29171255 -97.8601781333,1293,Wednesday,28562,3082,143
30.3307521333 -97.73175715,66,Thursday,14554,3082,143
30.28884327 -97.84251904,802,Thursday,387557,3082,143
30.2963208 -97.8320287,815,Thursday,25175,3082,143
30.3947917366 -97.7524960041,1091,Thursday,72272,3082,143
30.29611945 -97.8324151,1386,Thursday,15357,3082,143
30.2918763167 -97.8736784167,1041,Friday,36697,3083,143
30.2668906357 -97.7456858754,1275,Friday,9223,3083,143
30.2506754911 -97.7495348454,1386,Friday,10923,3083,143
30.2779887167 -97.7725491333,1437,Friday,129357,3083,143
30.28884327 -97.84251904,1210,Saturday,387557,3083,143
30.4021671043 -97.726585865,106,Sunday,129564,3083,143
30.2902613167 -97.8232754333,1050,Sunday,122101,3083,143
30.2790880167 -97.8066362667,1154,Sunday,202075,3083,143
30.2707337816 -97.7537029982,1186,Sunday,9241,3083,143
30.2314659204 -97.7971172333,985,Monday,183663,3083,143
30.3366555333 -97.8042787333,794,Tuesday,25311,3083,143
30.3382688791 -97.8071916103,1096,Tuesday,386752,3083,143
30.2650364594 -97.7461831119,49,Wednesday,9335,3083,143
30.2893718167 -97.8711387,884,Wednesday,209894,3083,143
30.2948856333 -97.8718113833,1329,Wednesday,83313,3083,143
30.2893718167 -97.8711387,860,Thursday,209894,3083,143
30.3947917366 -97.7524960041,899,Thursday,72272,3083,143
30.3911084712 -97.7471423149,922,Thursday,12019,3083,143
30.29611945 -97.8324151,1098,Thursday,15357,3083,143
30.2963208 -97.8320287,1171,Thursday,25175,3083,143
30.2893718167 -97.8711387,860,Friday,209894,3084,143
30.2890861994 -97.827691563,1056,Friday,340896,3084,143
30.2961287667 -97.8333772167,1151,Friday,19655,3084,143
30.36092275 -97.7894340167,1264,Friday,19000,3084,143
30.2948856333 -97.8718113833,1408,Friday,83313,3084,143
30.2948856333 -97.8718113833,1079,Saturday,83313,3084,143
30.2902613167 -97.8232754333,1052,Sunday,122101,3084,143
30.2963208 -97.8320287,911,Monday,25175,3084,143
30.27765235 -97.7514181667,1236,Monday,18686,3084,143
30.2707977167 -97.78760895,1,Tuesday,32187,3084,143
30.2709220333 -97.7879393667,54,Tuesday,16753,3084,143
30.33953404 -97.77687925,1439,Tuesday,416569,3084,143
30.3366555333 -97.8042787333,848,Wednesday,25311,3084,143
30.2902613167 -97.8232754333,1057,Wednesday,122101,3084,143
30.2731067667 -97.8005367333,1216,Wednesday,78014,3084,143
30.2890861994 -97.827691563,1268,Wednesday,340896,3084,143
30.2668906357 -97.7456858754,18,Thursday,9223,3084,143
30.2699606 -97.7498949,59,Thursday,99231,3084,143
30.2963208 -97.8320287,1292,Thursday,25175,3084,143
30.2668906357 -97.7456858754,993,Friday,9223,3085,143
30.2963208 -97.8320287,1158,Friday,25175,3085,143
30.29611945 -97.8324151,1302,Friday,15357,3085,143
30.29171255 -97.8601781333,35,Saturday,28562,3085,143
30.2902613167 -97.8232754333,901,Sunday,122101,3085,143
30.2565604223 -97.8910776973,1185,Sunday,479875,3085,143
30.3948935334 -97.7492237091,1347,Monday,35677,3085,143
30.2628017711 -97.7621519566,1066,Tuesday,18452,3085,143
30.3956615833 -97.7470779333,811,Wednesday,11350,3085,143
30.3516249579 -97.7087062597,1139,Wednesday,32707,3085,143
30.4013805483 -97.6618051529,1197,Wednesday,40757,3085,143
30.26773095 -97.7454900667,209,Thursday,10676,3085,143
30.2699606 -97.7498949,319,Thursday,99231,3085,143
30.29611945 -97.8324151,1399,Thursday,15357,3085,143
30.2670273144 -97.7445030212,18,Friday,17831,3088,143
30.2671515833 -97.7360916,255,Friday,11358,3088,143
30.2667400573 -97.739084959,266,Friday,23797,3088,143
30.3024368876 -97.7858304977,1107,Friday,670484,3088,143
30.26717305 -97.7446746667,83,Saturday,88066,3088,143
30.2670597466 -97.7445405722,138,Saturday,97009,3088,143
30.26780605 -97.74154185,292,Saturday,9222,3088,143
30.2646025833 -97.7417181333,1040,Saturday,700219,3088,143
30.2635309333 -97.7406169667,1134,Saturday,694359,3088,143
30.2636079743 -97.7395677567,10,Sunday,9246,3088,143
30.2687137743 -97.7360165119,198,Sunday,702472,3088,143
30.2663323362 -97.7448141575,398,Sunday,9251,3088,143
30.2494485833 -97.7500291167,1104,Sunday,709181,3088,143
30.2493640765 -97.7494704723,1154,Sunday,11368,3088,143
30.2777356167 -97.7360520833,1372,Sunday,711556,3088,143
30.26717305 -97.7446746667,61,Tuesday,88066,3088,143
30.265294493 -97.7385485172,1020,Tuesday,9247,3088,143
30.2621373773 -97.7399837068,1319,Tuesday,700638,3088,143
30.3382688791 -97.8071916103,23,Wednesday,386752,3088,143
30.2948856333 -97.8718113833,164,Wednesday,83313,3088,143
30.2707337816 -97.7537029982,1237,Wednesday,9241,3088,143
30.29171255 -97.8601781333,1410,Friday,28562,3101,143
30.2510462058 -97.7493242919,933,Saturday,15326,3101,143
30.26747125 -97.7402715667,1416,Monday,38000,3101,143
30.2643400382 -97.7413809299,94,Tuesday,709919,3101,143
30.2948856333 -97.8718113833,1397,Tuesday,83313,3101,143
30.2448597206 -97.7571630478,803,Wednesday,18417,3101,143
30.2448732833 -97.7571331833,875,Wednesday,81881,3101,143
30.2686303786 -97.7424001694,1185,Wednesday,13087,3101,143
30.29611945 -97.8324151,1314,Wednesday,15357,3101,143
30.29171255 -97.8601781333,1377,Wednesday,28562,3101,143
30.2650364594 -97.7461831119,1057,Thursday,9335,3101,143
30.2642977167 -97.73298025,1170,Thursday,15245,3101,143
30.29611945 -97.8324151,1353,Thursday,15357,3101,143
30.3366555333 -97.8042787333,950,Friday,25311,3102,143
30.4023521754 -97.7259528637,1198,Friday,14802,3102,143
30.29171255 -97.8601781333,1438,Friday,28562,3102,143
30.250617981 -97.7658996582,1046,Saturday,121955,3102,143
30.2650906296 -97.7475500107,1106,Saturday,236755,3102,143
30.265088313 -97.7463456988,1138,Saturday,174857,3102,143
30.29171255 -97.8601781333,1333,Sunday,28562,3102,143
30.2963208 -97.8320287,928,Monday,25175,3102,143
30.2745494 -97.7645935,1389,Wednesday,70291,3102,143
30.2640736232 -97.7426227927,6,Thursday,9340,3102,143
30.4004667474 -97.7271813154,1409,Thursday,14811,3102,143
30.2963208 -97.8320287,747,Saturday,25175,3113,143
30.36575125 -97.7379915167,811,Saturday,614226,3113,143
30.24783225 -97.7549419833,1327,Saturday,17549,3113,143
30.2948856333 -97.8718113833,109,Sunday,83313,3113,143
30.4017692003 -97.7263069153,750,Sunday,3834592,3113,143
30.4017738271 -97.726457119,918,Sunday,11592,3113,143
29.8854518 -97.6724846,1150,Monday,88378,3113,143
27.8388408167 -97.06107355,1433,Tuesday,988451,3113,143
30.2668674465 -97.7418448098,1022,Thursday,51786,3113,143
30.27765235 -97.7514181667,1145,Thursday,18686,3113,143
30.2740426333 -97.7484306333,1282,Thursday,187192,3113,143
30.2701179833 -97.7504964833,1398,Thursday,1464402,3113,143
38.9603036542 -119.9414567564,82,Friday,202560,3115,143
39.5059758981 -119.7758865322,1041,Saturday,23527,3115,143
30.26175155 -97.7618140833,1202,Sunday,22071,3115,143
30.2448597206 -97.7571630478,839,Monday,18417,3115,143
30.2448732833 -97.7571331833,858,Monday,81881,3115,143
30.2963208 -97.8320287,1206,Monday,25175,3115,143
30.2650364594 -97.7461831119,841,Tuesday,9335,3115,143
30.2670273144 -97.7445030212,996,Tuesday,17831,3115,143
30.252272 -97.7098085833,1078,Tuesday,283339,3115,143
30.2642977167 -97.73298025,1117,Tuesday,15245,3115,143
30.2963208 -97.8320287,861,Wednesday,25175,3115,143
30.2616897558 -97.7451789379,1061,Wednesday,9282,3115,143
30.26591944 -97.74120974,98,Thursday,704352,3115,143
30.3370525835 -97.8041192789,1151,Thursday,520532,3115,143
35.525110142 -97.5439167023,1231,Thursday,18235,4879,218
35.5815127167 -97.5778618167,973,Saturday,206264,4879,218
35.522553 -97.533157,197,Sunday,55512,4879,218
35.5225379167 -97.53287195,232,Sunday,25661,4879,218
35.5240111 -97.5298203,250,Sunday,36372,4879,218
35.5462294 -97.612698,1214,Sunday,26186,4879,218
35.4857199 -97.5394757833,871,Monday,63579,4879,218
35.5224633833 -97.5468372167,954,Monday,82846,4879,218
35.5335200979 -97.5656120478,970,Monday,27753,4879,218
35.5251892667 -97.5483711833,980,Monday,28108,4879,218
35.5250490195 -97.5444102287,1167,Monday,18231,4879,218
35.53849995 -97.59412605,76,Tuesday,28815,4879,218
35.5247895167 -97.5448139,1355,Tuesday,48195,4879,218
35.6223983765 -97.5671005249,27,Wednesday,161105,4879,218
35.52309304 -97.54161065,983,Wednesday,185861,4879,218
35.5250490195 -97.5444102287,1209,Wednesday,18231,4879,218
35.525110142 -97.5439167023,1260,Thursday,18235,4880,218
35.5652136333 -97.5617901833,29,Saturday,76816,4880,218
35.5463875833 -97.61054215,17,Sunday,34830,4880,218
35.5675367333 -97.657332,51,Sunday,200970,4880,218
35.5612325333 -97.6483828,1204,Sunday,61480,4880,218
35.5251892667 -97.5483711833,1042,Monday,28108,4880,218
35.525110142 -97.5439167023,1215,Monday,18235,4880,218
35.6084676167 -97.6196871833,944,Tuesday,23188,4880,218
35.5251892667 -97.5483711833,965,Tuesday,28108,4880,218
35.525110142 -97.5439167023,1353,Tuesday,18235,4880,218
35.5652136333 -97.5617901833,45,Wednesday,76816,4880,218
35.5251892667 -97.5483711833,1144,Wednesday,28108,4880,218
35.525110142 -97.5439167023,1272,Wednesday,18235,4880,218
35.525110142 -97.5439167023,1368,Thursday,18235,4881,218
35.5815127167 -97.5778618167,86,Friday,206264,4881,218
35.525110142 -97.5439167023,1288,Friday,18235,4881,218
35.5658429 -97.5775473833,114,Saturday,32658,4881,218
35.6073719 -97.6213858333,1002,Sunday,49689,4881,218
35.5964477 -97.6205568833,1272,Sunday,33538,4881,218
35.525110142 -97.5439167023,1208,Monday,18235,4881,218
35.6084676167 -97.6196871833,946,Tuesday,23188,4881,218
35.5251892667 -97.5483711833,1177,Wednesday,28108,4881,218
35.5250490195 -97.5444102287,1188,Wednesday,18231,4881,218
35.6107216333 -97.58349895,17,Thursday,55087,4882,218
35.6084676167 -97.6196871833,908,Thursday,23188,4882,218
35.5251892667 -97.5483711833,939,Thursday,28108,4882,218
35.5250490195 -97.5444102287,1087,Thursday,18231,4882,218
35.6084676167 -97.6196871833,1023,Sunday,23188,4882,218
35.5964477 -97.6205568833,1136,Sunday,33538,4882,218
35.5250490195 -97.5444102287,1195,Monday,18231,4882,218
35.525110142 -97.5439167023,1090,Tuesday,18235,4882,218
35.6149196853 -97.5672450245,1259,Tuesday,81028,4882,218
35.5310592302 -97.5660906748,1238,Wednesday,25020,4882,218
35.8639251167 -105.9940369167,188,Friday,41889,4888,218
35.68902355 -105.93655475,1066,Friday,21282,4888,218
35.6859285556 -105.9398497151,1256,Friday,290248,4888,218
35.6872725174 -105.9399327021,1281,Friday,473515,4888,218
35.6895176 -105.9371908,181,Saturday,447200,4888,218
35.6874132 -105.9385871833,973,Saturday,13862,4888,218
35.6872725174 -105.9399327021,1342,Saturday,473515,4888,218
35.6865115422 -105.9362000227,1388,Saturday,70359,4888,218
35.68902355 -105.93655475,1014,Monday,21282,4888,218
35.6859285556 -105.9398497151,1119,Monday,290248,4888,218
32.8975066877 -97.0447361469,1245,Tuesday,225242,4888,218
35.3966591152 -97.5961661339,38,Wednesday,25567,4888,218
35.6112378025 -97.6021742821,155,Wednesday,497640,4888,218
35.5500404 -97.619782,1164,Wednesday,38080,4888,218
35.5251892667 -97.5483711833,1241,Wednesday,28108,4888,218
35.5250592109 -97.5465917018,1339,Wednesday,487127,4888,218
35.5652136333 -97.5617901833,28,Thursday,76816,4888,218
35.6084676167 -97.6196871833,907,Thursday,23188,4888,218
35.5251892667 -97.5483711833,928,Thursday,28108,4888,218
35.5500404 -97.619782,1161,Thursday,38080,4888,218
35.5281346667 -97.5701536833,1216,Thursday,80136,4888,218
35.5463875833 -97.61054215,29,Friday,34830,4890,218
35.6084676167 -97.6196871833,970,Friday,23188,4890,218
35.5250490195 -97.5444102287,1360,Friday,18231,4890,218
35.5302093399 -97.5746011734,19,Saturday,101440,4890,218
35.6084676167 -97.6196871833,918,Saturday,23188,4890,218
35.5251892667 -97.5483711833,1104,Saturday,28108,4890,218
35.6101189667 -97.5756494167,248,Sunday,389240,4890,218
35.6084676167 -97.6196871833,1097,Sunday,23188,4890,218
35.5650568216 -97.5623703003,32,Monday,43327,4890,218
35.51040464 -97.52967429,1134,Monday,512639,4890,218
35.5225288306 -97.5417464961,1206,Monday,404161,4890,218
35.493182022 -97.5115554987,1214,Monday,94435,4890,218
